Date,Max,Min
2023-09-11,73,62
2023-09-12,70,56
2023-09-13,79,56
2023-09-14,71,45
2023-09-15,65,39
2023-09-16,68,39
2023-09-17,69,43
2023-09-18,64,44
2023-09-19,70,49
2023-09-20,67,41
2023-09-21,67,37
2023-09-22,68,38
2023-09-23,69,41
2023-09-24,55,45
2023-09-25,62,51
2023-09-26,60,45
2023-09-27,64,34
2023-09-28,67,37
2023-09-29,67,40
2023-09-30,68,48
2023-10-01,72,43
2023-10-02,75,45
2023-10-03,77,48
2023-10-04,80,50
2023-10-05,82,53
2023-10-06,79,60
2023-10-07,69,55
2023-10-08,57,40
2023-10-09,57,43
2023-10-10,53,43
2023-10-11,55,43
2023-10-12,55,39
2023-10-13,61,33
2023-10-14,55,36
2023-10-15,48,42
2023-10-16,51,44
2023-10-17,54,46
2023-10-18,57,43
2023-10-19,56,37
2023-10-20,59,41
2023-10-21,62,50
2023-10-22,54,41
2023-10-23,44,39
2023-10-24,52,33
2023-10-25,65,43
2023-10-26,71,52
2023-10-27,75,53
2023-10-28,77,53
2023-10-29,67,38
2023-10-30,48,42
2023-10-31,45,32
2023-11-01,43,29
2023-11-02,38,27
2023-11-03,45,27
2023-11-04,58,38
2023-11-05,57,43
2023-11-06,47,27
2023-11-07,53,31
2023-11-08,60,30
2023-11-09,48,30
2023-11-10,56,32
2023-11-11,50,35
2023-11-12,39,33
2023-11-13,38,20
2023-11-14,45,28
2023-11-15,41,23
2023-11-16,53,29
2023-11-17,62,29
2023-11-18,59,33
2023-11-19,41,26
2023-11-20,47,21
2023-11-21,35,21
2023-11-22,43,28
2023-11-23,46,36
2023-11-24,45,31
2023-11-25,35,25
2023-11-26,40,26
2023-11-27,43,28
2023-11-28,36,23
2023-11-29,30,19
2023-11-30,32,23
2023-12-01,46,24
2023-12-02,45,39
2023-12-03,51,39
2023-12-04,43,32
2023-12-05,43,32
2023-12-06,34,28
2023-12-07,32,24
2023-12-08,35,26
2023-12-09,48,33
2023-12-10,53,44
2023-12-11,50,31
2023-12-12,34,26
2023-12-13,41,27
2023-12-14,36,25
2023-12-15,40,25
2023-12-16,55,25
2023-12-17,46,29
2023-12-18,49,42
2023-12-19,42,26
2023-12-20,26,16
2023-12-21,36,16
2023-12-22,30,14
2023-12-23,37,15
2023-12-24,39,34
2023-12-25,42,36
2023-12-26,51,39
2023-12-27,47,42
2023-12-28,50,41
2023-12-29,49,41
2023-12-30,43,32
2023-12-31,35,31
